id,name,email,aadhar_number,language_proficiency_certificates,education_certificates,profile_rating,created_at,lang_name,lang_pro,Subjects
398,Nicholas Rodgers,nmcbride@example.com,563976575429,‘Fluent',"b""Bachelor's Degree""",3.73,2024-10-26 09:28:10,English,Advance,"['MAT', 'History', 'LSAT', 'JEE', 'Environmental Science']"
399,Timothy Davidson,susan35@example.com,85566507955,‘Fluent',"b""Bachelor's Degree""",4.47,2024-10-26 09:28:10,Hindi,Fluent,"['ICSE', 'Economics', 'SAT', 'LSAT', 'CBSE']"
400,Diana Smith,patriciaboone@example.net,217899890321,‘Fluent',"b""Bachelor's Degree""",4.4,2024-10-26 09:28:10,French,Intermediate,"['Accountancy', 'NDA', 'AIIMS', 'IELTS', 'JEE']"
401,Megan Hudson,sandra53@example.org,186837905001,‘Fluent',"b""Bachelor's Degree""",3.9,2024-10-26 09:28:10,Spanish,Basic,"['GMAT', 'GATE', 'Physics', 'Chemistry', 'TOEFL']"
402,Kristopher Thompson,dstewart@example.org,50645495685,‘Fluent',"b""Bachelor's Degree""",2.67,2024-10-26 09:28:10,English,Advance,"['Business Studies', 'CLAT', 'SAT', 'Psychology', 'History']"
403,Jeffrey Holland,lisa08@example.net,352937166715,‘Fluent',"b""Bachelor's Degree""",1.35,2024-10-26 09:28:10,Hindi,Fluent,"['GATE', 'GRE', 'JIPMER', 'ACT', 'AIIMS']"
404,Teresa Hanson,brendarichards@example.org,875401959864,‘Fluent',"b""Bachelor's Degree""",2.13,2024-10-26 09:28:10,French,Intermediate,"['Mathematics', 'TOEFL', 'CUET', 'Economics', 'JEE']"
405,Alison Olson,john03@example.com,701605487630,‘Fluent',"b""Bachelor's Degree""",4.98,2024-10-26 09:28:10,Spanish,Basic,"['GMAT', 'NEET', 'Sociology', 'NDA', 'IBPS']"
406,"ErieGomez
",johnathan91@example.org,327735716678,‘Fluent',"b""Bachelor's Degree""",3.16,2024-10-26 09:28:10,English,Advance,"['IBPS', 'JEE', 'NDA', 'JIPMER', 'AIIMS']"
407,Gregory Edwards,egonzalez@example.com,69129097044,‘Fluent',"b""Bachelor's Degree""",4.73,2024-10-26 09:28:10,Hindi,Fluent,"['BITSAT', 'NDA', 'AIIMS', 'Biology', 'DUET']"
408,Barbara Turner,yolanda23@example.org,195850732207,‘Fluent',"b""Bachelor's Degree""",4.37,2024-10-26 09:28:10,French,Intermediate,"['Psychology', 'Mathematics', 'IELTS', 'JIPMER', 'GRE']"
409,Austin Sutton,jeremy13@example.org,573568425468,‘Fluent',"b""Bachelor's Degree""",4.2,2024-10-26 09:28:10,Spanish,Basic,"['UPSC', 'SSC', 'Business Studies', 'MAT', 'JEE']"
410,Michael Howard,ghoover@example.com,396466173788,‘Fluent',"b""Bachelor's Degree""",1.32,2024-10-26 09:28:10,English,Advance,"['GRE', 'MAT', 'Geography', 'Sociology', 'Accountancy']"
411,Sheila Lara,perezdarlene@example.org,278916197561,‘Fluent',"b""Bachelor's Degree""",4.7,2024-10-26 09:28:10,Hindi,Fluent,"['Accountancy', 'BITSAT', 'JEE', 'Geography', 'Chemistry']"
412,Yvonne Jacobs,gwilliams@example.net,829305834520,‘Fluent',"b""Bachelor's Degree""",2.7,2024-10-26 09:28:10,French,Intermediate,"['JEE', 'Biology', 'English', 'UPSC', 'Mathematics']"
413,Samantha Jackson,hsmith@example.org,801743450365,‘Fluent',"b""Bachelor's Degree""",2.69,2024-10-26 09:28:10,Spanish,Basic,"['Geography', 'SSC', 'Psychology', 'ICSE', 'IBPS']"
414,Steven Allison,palmerbryan@example.org,994600535699,‘Fluent',"b""Bachelor's Degree""",1.41,2024-10-26 09:28:10,English,Advance,"['ICSE', 'LSAT', 'UPSC', 'Computer Science', 'GMAT']"
